,VU,UN,Other
ACX60_05080,228,1,0
ACX60_00950,228,1,0
ACX60_11495,184,1,0
ACX60_07925,228,1,0
ACX60_10365,1,228,0
ACX60_05695,204,1,24
ClsC2,22,207,0
